"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","Rp0,00"
"P/L Terbuka","Rp0,00 / 0,00%"
"P/L Harian","Rp45.412.277.493.641.632,00 / 0,07%"
"P/L Total","Rp49.209.964.644.144.864,00"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","Jual","1000000000.00000000","816.850.695","03/24/2021","816.670.126","0,02%","Rp100.000.000.000.000,00"
"","ETH/BTC","ETH/BTC","Poloniex","03/24/2021","Jual","1000000000.00000000","0,030871","03/24/2021","0,030929","-187,88%","-Rp47.033.882.000.000,00"
"","EUR/IDR","EUR/IDR","FX","03/24/2021","Jual","1000000000.00000000","17.061,0","03/24/2021","17.058,1","0,17%","Rp2.900.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","1000000000.00000000","55.456,0","03/24/2021","55.419,0","33,36%","Rp532.614.999.999.899,19"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Beli","2000000.00000000","820.184.000","03/24/2021","818.001.000","-0,27%","-Rp4.366.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","Beli","1000000000.00000000","817.974.735","03/24/2021","817.974.658","-0,00%","-Rp77.000.000.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Jual","100000000.00000000","820.216.000","03/24/2021","818.001.000","27,01%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","Jual","100000000.00000000","820.106.297","03/24/2021","817.974.735","0,26%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Beli","20000.00000000","820.184.000","03/24/2021","818.001.000","-0,27%","-Rp43.660.000.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Beli","1000.00000000","820.184.000","03/24/2021","818.007.000","-0,27%","-Rp2.177.000.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Beli","1000000000.00000000","818.999.000","03/24/2021","820.184.000","144,69%","Rp100.000.000.000.000,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/24/2021","Jual","100000000.00000000","32,2573","03/24/2021","32,1305","0,39%","Rp3.153.117.848.000,00"
"","BTC/KRW","BTC/KRW","Bithumb","03/24/2021","Jual","100000000.00000000","65.996.000","03/24/2021","65.808.000","0,28%","Rp238.760.000.000.000,00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/24/2021","Jual","100000000.00000000","40.533,6","03/24/2021","40.348,3","0,46%","Rp366.779.114.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","100000000.00000000","55.732,0","03/24/2021","55.475,7","0,46%","Rp368.943.850.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","1000000.00000000","55.618,8","03/24/2021","55.649,0","-0,05%","-Rp434.729.000.014,93"
"","BTC/IDR","BTC/IDR","Luno","03/24/2021","Jual","1000000.00000000","817.117.000","03/24/2021","817.117.000","0,00%","-Rp1.500,00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","100000.00000000","55.631,0","03/24/2021","55.619,0","0,02%","Rp17.273.999.998,50"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000.00000000","55.153,8","03/24/2021","55.608,1","0,82%","Rp6.539.648.456.815,00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","10000000.00000000","55.667,0","03/24/2021","55.631,0","0,06%","Rp5.182.199.999.985,03"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000.00000000","55.438,1","03/24/2021","55.689,5","0,45%","Rp3.618.902.985.605,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","55.466,6","03/24/2021","55.700,2","0,42%","Rp3.362.671.999.956.815,00"
"","BTC/USD","BTC/USD","Coinbase Pro","03/23/2021","Beli","100000000.00000000","55.461,0","03/24/2021","55.723,3","47,29%","Rp377.580.849.999.856,06"
"","BTC/USD","BTC/USD","Coinbase Pro","03/23/2021","Beli","10000000.00000000","55.443,8","03/24/2021","55.684,7","43,45%","Rp34.677.554.999.984,16"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","100000000.00000000","811.011.000","03/24/2021","818.344.000","-90,42%","-Rp100.000.000.000.000,00"
"","BTC/USD","BTC/USD","Bitfinex","03/23/2021","Beli","10000000.00000000","55.177,0","03/24/2021","55.686,0","92,25%","Rp73.270.549.999.985,59"
"","ETH/RUB","ETH/RUB","Exmo","03/23/2021","Jual","100000000.00000000","126.355,0","03/24/2021","126.662,3","-0,24%","-Rp5.791.683.100.009,40"
"","ETH/USD","ETH/USD","Binance","03/23/2021","Jual","150000000.00000000","1.709,48","03/24/2021","1.715,90","-0,38%","-Rp13.862.385.000.001,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Jual","1000000.00000000","32,2171","03/23/2021","32,1389","24,27%","Rp19.445.884.520,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Beli","500000000.00000000","31,9512","03/23/2021","31,8893","-77,49%","-Rp7.696.294.124.887,70"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","90000000.00000000","55.041,4","03/23/2021","54.940,8","-0,18%","-Rp130.332.330.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","10000000.00000000","55.041,4","03/23/2021","54.933,1","-0,20%","-Rp15.589.785.000.000,00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/23/2021","Jual","1000000000.00000000","40.018,2","03/23/2021","39.978,3","0,10%","Rp789.772.614.061.741,25"
"","BTC/XAU","BTC/XAU","Synthetic","03/23/2021","Beli","200000000.00000000","31,9258","03/23/2021","31,8662","-18,67%","-Rp2.964.129.712.076,30"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Jual","1000000000.00000000","815.829.492","03/23/2021","815.430.313","0,05%","Rp100.000.000.000.000,00"
"","BTC/EUR","BTC/EUR","Kraken","03/23/2021","Jual","1000000.00000000","46.542,1","03/23/2021","46.477,7","13,84%","Rp1.098.773.479.236,34"
"","Bitcoin AUD Index","BTC/AUD","Investing.com","03/23/2021","Beli","1000000000.00000000","72.041,4","03/23/2021","72.248,2","0,29%","Rp2.271.662.839.606.068,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","100000000.00000000","810.557.000","03/23/2021","810.557.000","0,00%","-Rp575.873,48"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","100000000.00000000","55.160,6","03/23/2021","55.165,0","-0,01%","-Rp6.333.800.575.802,20"
"","EUR/IDR","EUR/IDR","FX","03/23/2021","Beli","1000000000.00000000","17.100,5","03/23/2021","17.092,6","-0,46%","-Rp7.900.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","100000000.00000000","816.890.000","03/23/2021","812.500.000","53,74%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","55.377,0","03/23/2021","55.097,2","-0,51%","-Rp4.027.721.000.575.800,00"
"","US 30 Berjangka","1YMc1","","03/23/2021","Beli","1000000000.00000000","32.548,5","03/23/2021","32.541,0","-0,02%","-Rp1.079.625.000.086.400,00"
"","RUB/IDR","RUB/IDR","FX","03/23/2021","Jual","1000000000.00000000","189,57","03/23/2021","189,50","14,77%","Rp70.000.000,00"
"","IDR/EUR","IDR/EUR","FX","03/23/2021","Jual","1000000000.00000000","0,00006","03/23/2021","0,00006","0,00%","Rp0,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","808.040.074","03/23/2021","815.886.857","0,97%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","807.579.009","03/23/2021","814.299.911","0,83%","Rp100.000.000.000.000,00"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/23/2021","Beli","1000000000.00000000","5.920.433","03/23/2021","6.004.016","1,41%","Rp11.077.254.989.867.470,00"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/23/2021","Beli","1000000000.00000000","5.927.616","03/23/2021","5.944.860","0,29%","Rp2.285.347.319.840.964,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.510,2","03/23/2021","54.693,8","-0,34%","-Rp2.642.922.002.879.100,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.517,5","03/23/2021","54.688,3","-0,31%","-Rp2.458.666.002.879.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.570,3","03/23/2021","54.601,6","-0,06%","-Rp450.563.502.878.940,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.552,4","03/23/2021","54.486,0","0,12%","Rp955.827.994.242.014,38"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000000.00000000","808.000.000","03/23/2021","808.994.000","-49,21%","-Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000.00000000","54.579,9","03/23/2021","54.476,1","0,19%","Rp1.494.200.424.200,00"
"","Bitcoin RUB Index","BTC/RUB","Investing.com","03/23/2021","Jual","1000000000.00000000","4.053.451","03/23/2021","4.038.905","0,36%","Rp2.741.484.619.943.459,00"
"","BTC/EUR","BTC/EUR","Binance","03/23/2021","Jual","1000000.00000000","45.808,9","03/23/2021","46.056,4","-5,40%","-Rp4.222.770.750.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000.00000000","54.307,9","03/23/2021","54.632,8","-0,60%","-Rp4.676.935.514.395,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","809.006.596","03/23/2021","809.036.220","0,00%","Rp29.623.999.900.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","100000000.00000000","808.972.994","03/23/2021","809.006.596","0,00%","Rp3.360.199.999.000,00"
"","BTC/EUR","BTC/EUR","Binance","03/23/2021","Jual","1000000.00000000","45.813,2","03/23/2021","46.077,8","-14,44%","-Rp4.514.525.820.001,20"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/23/2021","Jual","1000000.00000000","39.550,0","03/23/2021","39.776,3","-57,22%","-Rp4.479.336.940.001,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000.00000000","54.580,5","03/23/2021","54.571,3","0,02%","Rp132.433.971.209,96"
"","Emas","GCJ1","ICE","03/23/2021","Beli","1000000.00000000","1.737,20","03/23/2021","1.738,25","0,06%","Rp1.511.474.956.815,00"
"","Emas","GCJ1","ICE","03/23/2021","Beli","1000000.00000000","1.737,10","03/23/2021","1.737,85","0,04%","Rp1.079.624.956.815,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","100000.00000000","805.999.000","03/23/2021","806.000.000","-0,01%","-Rp100.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","805.800.000","03/23/2021","805.800.000","0,00%","-Rp10.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","807.886.965","03/23/2021","808.241.096","0,04%","Rp100.000.000.000.000,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","03/23/2021","Jual","1000000.00000000","45.844,2","03/23/2021","45.793,7","11,02%","Rp861.615.849.998,98"
"","XAU/IDR","XAU/IDR","FX","03/23/2021","Beli","1000000.00000000","250.619,93","03/23/2021","250.491,42","-1,28%","-Rp128.510.000,00"
"","IDR/USD","IDR/USD","FX","03/23/2021","Jual","100000000.00000000","0,00006943","03/23/2021","0,00006944","-0,14%","-Rp143,95"
"","ETH/XAU","ETH/XAU","Synthetic","03/23/2021","Jual","1000000.00000000","0,95586","03/23/2021","0,95845","-27,10%","-Rp644.051.674,00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/23/2021","Jual","1000000000.00000000","38.894,3","03/23/2021","38.706,4","0,48%","Rp3.719.255.000.206.200,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Jual","1000000000.00000000","797.974.650","03/23/2021","798.388.163","-0,05%","-Rp100.000.000.000.000,00"
"","Bitcoin Cash SV IDR Index","BCHSV/IDR","Investing.com","03/23/2021","Jual","1000000000.00000000","3.169.000","03/23/2021","3.163.000","0,19%","Rp6.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000000.00000000","797.964.000","03/23/2021","794.500.000","43,41%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","53.665,9","03/23/2021","53.604,9","0,11%","Rp878.094.982.726.000,00"
"","Bitcoin Cash SV IDR Index","BCHSV/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","3.140.000","03/23/2021","3.169.000","0,92%","Rp28.999.999.990.000,00"
"","BCHSV/IDR","BCHSV/IDR","Indodax","03/23/2021","Jual","1000000000.00000000","3.140.000","03/23/2021","3.169.000","-0,92%","-Rp29.000.000.010.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","801.852.000","03/23/2021","794.499.000","91,70%","Rp7.352.999.999.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","805.260.465","03/23/2021","797.878.585","-0,92%","-Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","800.000.000","03/23/2021","792.501.000","93,74%","Rp7.498.999.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","802.000.000","03/23/2021","792.501.000","118,44%","Rp9.498.999.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","802.000.000","03/23/2021","794.499.000","93,53%","Rp7.500.999.999.900,00"
"","Bitcoin Cash SV IDR Index","BCHSV/IDR","Investing.com","03/23/2021","Beli","1000000000.00000000","3.115.000","03/23/2021","3.147.000","1,03%","Rp31.999.999.999.500,00"
"","USD/IDR","USD/IDR","FX","03/23/2021","Jual","100000000.00000000","14.425,0","03/23/2021","14.420,0","3,47%","Rp499.999.000,00"
"","USD/IDR","USD/IDR","FX","03/23/2021","Jual","1000000000.00000000","14.417,5","03/23/2021","14.425,0","-5,20%","-Rp7.500.001.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","801.852.000","03/23/2021","796.760.000","63,50%","Rp5.091.999.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","10000000.00000000","800.000.000","03/23/2021","796.760.000","40,50%","Rp32.399.999.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","801.852.000","03/23/2021","796.760.000","63,50%","Rp5.091.999.999.900,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","10000000.00000000","800.000.000","03/23/2021","796.760.000","40,50%","Rp32.399.999.999.900,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000.00000000","53.643,1","03/23/2021","53.384,6","0,48%","Rp3.721.107.485.605,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","100000000.00000000","799.900.000","03/23/2021","794.000.000","73,76%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000.00000000","812.989.000","03/23/2021","802.000.000","135,17%","Rp10.988.999.999.900,00"
"","IDR/USD","IDR/USD","FX","03/23/2021","Jual","1000000000.00000000","0,00006937","03/23/2021","0,00006947","-0,14%","-Rp14.405,00"
"","EUR/IDR","EUR/IDR","FX","03/23/2021","Jual","1000000000.00000000","17.192,1","03/23/2021","17.190,3","1,05%","Rp1.800.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Beli","1000000000.00000000","54.467,7","03/23/2021","54.557,5","0,16%","Rp1.292.670.999.985.648,25"
"","BTC/EUR","BTC/EUR","Kraken","03/23/2021","Jual","1000000000.00000000","45.780,0","03/23/2021","45.855,0","-0,16%","-Rp1.279.627.500.000.000,00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/23/2021","Jual","10000000.00000000","39.568,8","03/23/2021","39.494,1","0,19%","Rp14.785.968.600.000,79"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/23/2021","Jual","200000000.00000000","45.879,9","03/23/2021","45.821,2","0,13%","Rp200.304.358.000.017,06"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","1000000000.00000000","813.375.000","03/23/2021","812.000.000","16,90%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","200000000.00000000","54.507,9","03/23/2021","54.600,1","-0,17%","-Rp265.443.799.999.990,00"
"","BTC/EUR","BTC/EUR","BitStamp","03/23/2021","Jual","100000000.00000000","45.780,6","03/23/2021","45.862,8","-0,18%","-Rp140.247.174.000.010,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","4000000000.00000000","817.869.899","03/23/2021","815.387.902","-0,30%","-Rp100.000.000.000.000,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/23/2021","Jual","100000000.00000000","45.976,7","03/23/2021","45.949,7","0,06%","Rp46.066.589.829.383,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","03/23/2021","Jual","2000000.00000000","45.908,9","03/23/2021","45.847,6","0,13%","Rp2.091.764.420.000,17"
"","BTC/EUR","BTC/EUR","Kraken","03/23/2021","Jual","1000000000.00000000","45.844,5","03/23/2021","45.780,0","0,14%","Rp1.100.479.650.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.622,2","03/23/2021","54.473,0","0,27%","Rp2.147.733.985.605.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.922,0","03/23/2021","54.660,4","0,48%","Rp3.765.731.998.560.500,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.922,0","03/23/2021","54.695,4","0,41%","Rp3.261.906.998.560.500,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","2000000000.00000000","54.864,2","03/23/2021","54.692,9","0,31%","Rp4.931.726.997.120.856,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000.00000000","54.954,6","03/23/2021","54.919,8","0,06%","Rp500.945.985.604,94"
"","BTC/USD","BTC/USD","Bitfinex","03/23/2021","Jual","1000000.00000000","54.957,0","03/23/2021","54.910,7","0,08%","Rp666.488.499.999,05"
"","BTC/USD","BTC/USD","Coinbase Pro","03/23/2021","Jual","1000000.00000000","55.024,5","03/23/2021","54.962,5","0,11%","Rp892.489.999.999,01"
"","Bitcoin RUB Index","BTC/RUB","Investing.com","03/23/2021","Beli","1000000000.00000000","4.038.508","03/23/2021","4.029.205","-0,23%","-Rp1.753.336.410.188.500,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/23/2021","Beli","3000000000.00000000","819.282.727","03/23/2021","819.283.653","0,00%","Rp2.777.999.900.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/23/2021","Jual","1000000000.00000000","54.868,5","03/23/2021","54.892,8","-0,04%","-Rp349.798.501.439.540,00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/23/2021","Jual","2000000000.00000000","39.855,4","03/23/2021","39.804,2","0,13%","Rp2.026.885.118.020.817,75"
"","BTC/IDR","BTC/IDR","Luno","03/23/2021","Jual","3000000000.00000000","819.300.000","03/23/2021","819.299.000","0,00%","Rp3.000.000.000.000,00"
